Time,Dynamic,LUT as Logic,Signals,LUT as Logic + Signals
10000.0,5336.531,96.981,115.853,212.834
20000.0,5061.828,23.71,0.0,23.71
30000.0,5063.516,25.41,0.0,25.41
40000.0,5053.969,15.9,0.0,15.9
50000.0,5053.969,15.9,0.0,15.9
60000.0,5053.969,15.9,0.0,15.9
70000.0,5053.969,15.9,0.0,15.9
80000.0,5038.062,0.0,0.0,0.0
90000.0,5038.062,0.0,0.0,0.0
100000.0,5038.062,0.0,0.0,0.0
110000.0,7493.094,273.21,620.2,893.4100000000001
120000.0,7483.578,969.1,1337.85,2306.95
130000.0,6721.531,291.83,369.7,661.53
140000.0,6751.641,216.54,194.25,410.78999999999996
150000.0,6662.594,154.215,167.6,321.815
160000.0,7093.484,279.25,471.15,750.4
170000.0,6843.906,234.385,266.45,500.835
180000.0,6917.703,324.81,252.1,576.91
190000.0,6700.141,170.835,188.5,359.33500000000004
200000.0,7695.484,562.8,787.35,1350.15
210000.0,6798.25,155.465,233.9,389.365
220000.0,6707.234,198.01,170.65,368.65999999999997
230000.0,6595.547,114.39,142.55,256.94
240000.0,6993.219,220.52,431.9,652.42
250000.0,6665.219,138.93,185.45,324.38
260000.0,6707.234,198.01,170.65,368.65999999999997
270000.0,6606.0,124.89,142.55,267.44
280000.0,8478.125,958.665,1238.55,2197.215
290000.0,5982.297,331.3,370.05,701.35
300000.0,5591.062,246.225,229.5,475.725
310000.0,5818.531,169.9,414.2,584.1
320000.0,5757.766,218.045,241.4,459.445
330000.0,5628.969,110.25,236.85,347.1
340000.0,6092.797,275.46,518.25,793.71
350000.0,5676.25,119.515,289.15,408.66499999999996
360000.0,5747.281,228.545,241.4,469.945
370000.0,5613.188,115.5,236.85,352.35
380000.0,6535.547,511.995,743.2,1255.1950000000002
390000.0,5712.734,127.99,335.9,463.89
400000.0,5757.766,218.045,241.4,459.445
410000.0,5628.969,110.25,236.85,347.1
420000.0,6092.797,275.46,518.25,793.71
430000.0,5676.25,119.515,289.15,408.66499999999996
440000.0,5757.766,239.045,241.4,480.445
450000.0,5618.406,120.75,236.85,357.6
460000.0,7636.922,1129.15,1241.5,2370.65
470000.0,5407.672,184.2,161.55,345.75
480000.0,5609.172,227.82,287.35,515.1700000000001
490000.0,6657.109,806.22,623.4,1429.62
500000.0,6659.641,229.445,260.0,489.445
510000.0,7318.984,426.73,439.0,865.73
520000.0,7220.375,353.315,394.25,747.565
530000.0,7304.469,406.57,429.65,836.22
540000.0,7758.75,522.945,703.1,1226.045
550000.0,7341.641,430.865,455.3,886.165
560000.0,7225.641,358.565,394.25,752.815
570000.0,7441.234,446.455,524.25,970.7049999999999
580000.0,8281.125,645.425,1069.25,1714.675
590000.0,7380.938,444.545,478.65,923.1949999999999
600000.0,7220.375,353.315,394.25,747.565
610000.0,7314.969,417.07,429.65,846.72
620000.0,7758.75,522.945,703.1,1226.045
630000.0,7341.641,430.865,455.3,886.165
640000.0,7230.891,363.815,394.25,758.065
650000.0,7699.625,591.64,680.95,1272.5900000000001
660000.0,6079.156,338.45,466.9,805.3499999999999
670000.0,6265.438,406.815,522.75,929.565
680000.0,5630.625,213.085,334.75,547.835
690000.0,5376.469,164.07,142.85,306.91999999999996
700000.0,5668.531,329.27,269.7,598.97
710000.0,5540.672,261.705,209.4,471.105
720000.0,5200.391,55.055,75.8,130.855
730000.0,5655.25,276.63,258.85,535.48
740000.0,6548.891,596.885,603.5,1200.385
750000.0,6552.328,682.065,780.15,1462.2150000000001
760000.0,5411.312,187.005,152.5,339.505
770000.0,5685.375,334.52,279.0,613.52
780000.0,5591.734,284.68,232.95,517.63
790000.0,5200.391,55.055,75.8,130.855
800000.0,5623.391,276.63,242.9,519.53
810000.0,8474.594,1329.975,1803.45,3133.425
